代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sh000823,800有色,5144.2126,54.336,1.068,5089.877,5063.4018,5144.2126,5058.0042,13638025,15763725580
sh000827,中证环保,1391.0553,16.169,1.176,1374.8862,1369.0046,1391.0553,1366.0457,22570380,37197137343
sh000847,腾讯济安,2714.4886,38.005,1.42,2676.4837,2668.6593,2714.4886,2658.6516,33190472,42941533090
sh000849,300非银,7762.1646,74.84,0.974,7687.3244,7682.2142,7762.1646,7675.5448,15310013,19910039579
sh000851,百发100,12730.0847,196.663,1.569,12533.4215,12492.8476,12730.0847,12451.1147,33182851,30944573378
sh000852,中证1000,5394.0342,138.638,2.638,5255.3962,5237.1053,5394.0342,5218.5861,182622372,183476438079
sh000853,CSSW丝路,1359.1234,13.516,1.004,1345.6072,1339.2212,1359.1234,1337.6974,15468283,46969383756
sh000854,500原料,3715.7838,47.11,1.284,3668.6741,3656.2747,3715.7838,3645.3917,19370443,18176440934
sh000855,央视500,1241.2525,14.737,1.202,1226.5156,1221.7174,1241.2525,1220.6345,180263574,310000109422
sh000856,500工业,4981.9638,84.311,1.721,4897.6527,4876.4683,4981.9638,4858.3223,28188405,32554111818
sh000857,500医药,10629.7706,101.807,0.967,10527.9635,10495.7898,10629.7706,10452.4012,5475839,10746642747
sh000858,500信息,5695.8296,236.028,4.323,5459.8019,5429.8067,5695.8296,5414.6055,15750604,30047420325
sh000860,结构调整,1085.6694,19.218,1.802,1066.451,1062.223,1085.6694,1061.4677,48683420,66088104717
sh000865,上海国企,1174.2699,12.615,1.086,1161.6547,1158.2121,1174.2699,1156.5558,18552171,16014844060
sh000867,港中小企,1777.9158,18.225,1.036,1759.6912,1762.4886,1777.9158,1739.6833,12731467,6371862398
sh000869,HK银行,2614.1045,8.865,0.34,2605.2394,2597.9661,2614.1045,2583.7572,8572944,5229331865
sh000891,新兴综指,1205.6651,33.105,2.823,1172.5604,1167.3551,1205.6651,1164.2839,351124510,503869824663
sh000901,小康指数,5230.3086,33.861,0.652,5196.4474,5177.9509,5230.3086,5173.0873,53437766,62285460353
sh000903,中证100,3305.2181,39.568,1.212,3265.6506,3253.1582,3305.2181,3250.4085,59402431,121509935498
sh000905,中证500,5307.8043,112.34,2.162,5195.4642,5174.8194,5307.8043,5160.8782,138971751,157201596730
