代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
sz399404,大盘低波,5675.862,13.787,0.243,5662.075,5657.301,5685.711,5645.992,3033355944,28972380892
sz399405,大盘高贝,1967.991,9.097,0.464,1958.894,1960.487,1970.941,1943.779,2644599337,58880049625
sz399406,中盘低波,11455.113,114.753,1.012,11340.36,11346.162,11456.772,11315.477,3900381328,26827700535
sz399407,中盘高贝,1868.633,41.451,2.269,1827.182,1834.104,1874.143,1829.349,2619426483,68668666399
sz399408,小盘低波,12925.182,78.881,0.614,12846.301,12850.876,12944.856,12783.682,3036038404,16804766904
sz399409,小盘高贝,3951.227,89.267,2.311,3861.96,3869.403,3960.98,3851.793,4071387695,58275997422
sz399410,苏州率先,1649.413,48.921,3.057,1600.492,1606.953,1654.96,1606.953,563201087,12825139454
sz399411,红利100,3477.788,23.188,0.671,3454.6,3451.868,3479.564,3444.04,3283606867,29519546679
sz399412,国证新能,2101.069,32.521,1.572,2068.548,2068.729,2106.197,2068.729,1711001850,35943880887
sz399413,国证转债,142.954,0.224,0.157,142.73,142.743,142.983,142.655,267224976,35408860368
sz399415,I100,5511.657,54.136,0.992,5457.521,5456.85,5518.742,5431.587,3218367891,56861798855
sz399416,I300,2853.724,48.844,1.741,2804.88,2810.21,2859.635,2800.861,1726076421,24285385067
sz399417,新能源车,2235.874,1.489,0.067,2234.385,2230.232,2250.469,2212.763,699922944,18729668277
sz399418,数据要素,3245.34,47.4,1.482,3197.94,3209.438,3257.073,3171.014,2050213986,46906315815
sz399419,国证高铁,1624.045,13.04,0.809,1611.005,1608.737,1625.618,1600.643,1208647784,10359426727
sz399420,国证保证,1098.994,-0.954,-0.087,1099.948,1098.704,1103.675,1091.86,999930287,12783179309
sz399422,中关村A,2611.698,30.018,1.163,2581.68,2586.355,2618.421,2572.866,6075693560,80828221950
sz399423,中关村50,1946.869,17.633,0.914,1929.236,1933.823,1952.177,1920.219,1138999551,21579069214
sz399427,专利领先,2486.342,12.811,0.518,2473.531,2471.173,2489.31,2458.571,4637917173,63989234020
sz399428,国证定增,2553.367,46.057,1.837,2507.31,2514.058,2559.079,2507.752,1977567665,28512749593
sz399429,新丝路,1273.405,9.715,0.769,1263.69,1264.036,1274.252,1259.053,2099061671,21580837350
sz399431,国证银行,6154.308,-8.682,-0.141,6162.99,6154.113,6185.017,6130.493,1887764919,12226889952
sz399432,智能汽车,3990.059,2.046,0.051,3988.013,3982.279,4012.347,3946.252,641131108,18241228471
sz399433,国证交运,1547.577,5.134,0.333,1542.443,1541.632,1549.08,1532.908,1492427054,10543916975
sz399434,数字传媒,1711.735,27.441,1.629,1684.294,1685.365,1716.878,1673.353,1846768925,20962473997
sz399435,国证农牧,3773.063,-13.303,-0.351,3786.366,3779.971,3793.415,3741.65,545953627,4467599612
sz399436,绿色煤炭,5025.353,-37.92,-0.749,5063.273,5058.332,5066.992,4951.457,1068154477,10982544916
sz399437,证券龙头,5003.823,0.088,0.002,5003.735,5002.699,5023.383,4973.779,933340533,10597425020
sz399438,绿色电力,1966.056,24.135,1.243,1941.921,1940.827,1966.056,1938.461,1645229714,11249585584
sz399439,国证油气,1746.904,26.539,1.543,1720.365,1720.861,1748.39,1709.101,1679889419,12697638591
sz399440,国证钢铁,1167.03,5.41,0.466,1161.62,1161.17,1168.667,1155.871,1234077616,5220465570
