序号,内部编号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
249,124,HSC,恒生工商业指数,8877.45,57.51,0.65,8839.34,8970.52,8839.34,8819.94,1208279328.0,30087973888.0
250,124,HSCIGTRI,恒生工商业分类指数(GTR),23424.22,151.74,0.65,23323.67,23669.8,23323.67,23272.48,0.0,30087973888.0
251,124,HSSCC,恒生港股通消费行业指数,1531.83,9.87,0.65,1526.82,1545.62,1526.82,1521.96,0.0,10730162688.0
252,124,HSICC,恒指备兑认购期权指数,4284.19,27.27,0.64,4278.44,4304.39,4271.7,4256.92,0.0,
253,124,HSAIT,恒生人工智能主题指数,2419.59,15.4,0.64,2408.02,2448.53,2407.03,2404.19,0.0,18718214400.0
254,124,HSFI,恒生期货指数,21038.16,132.58,0.63,21011.13,21262.12,20958.36,20905.58,0.0,
255,124,HSSUS,恒生可持续发展企业指数,2207.38,13.87,0.63,2195.5,2221.6,2195.5,2193.51,303684144.0,8463864320.0
256,124,HSMPI,恒生中国内地地产指数,1155.84,7.21,0.63,1146.06,1175.26,1146.06,1148.63,0.0,1044350672.0
257,124,HSHK35,恒生香港35,2102.21,12.89,0.62,2097.28,2117.83,2097.28,2089.32,321588560.0,8812021248.0
258,124,HSSCBI,恒生港股通中国内地银行指数,2323.96,14.23,0.62,2317.54,2339.28,2317.05,2309.73,0.0,5512718592.0
259,124,HSSCHKC,恒生港股通香港公司指数,2262.16,13.79,0.61,2256.56,2278.52,2256.56,2248.37,0.0,9753294592.0
260,124,HSSCCI,恒生港股通消费行业(可投资),1549.56,9.43,0.61,1545.7,1564.79,1545.11,1540.13,0.0,10353068800.0
261,124,HSBACG,恒生沪深港通大湾区消费品指数,6445.83,39.2,0.61,6414.28,6464.54,6397.23,6406.63,0.0,13504804864.0
262,124,HSCAESG,恒生A股通300ESG指数,7785.06,46.77,0.6,7738.31,7792.17,7703.79,7738.29,0.0,232124252160.0
263,124,HSMBI,恒生中国内地银行指数,2525.83,14.95,0.6,2520.11,2547.67,2518.85,2510.88,0.0,5485217024.0
264,124,HSCALCI,恒生A股低波幅全选指数,3998.97,23.56,0.59,3975.56,4004.15,3958.59,3975.41,0.0,401561907200.0
265,124,HSSCTE,恒生港股通文化娱乐指数,1432.46,8.34,0.59,1423.47,1446.19,1423.47,1424.12,0.0,9450498304.0
266,124,HSC500,恒生沪深港通中国500指数,3154.75,18.19,0.58,3138.87,3164.17,3130.38,3136.56,0.0,310945320960.0
267,124,HSHKLB,恒生香港上市银行指数,2749.98,15.81,0.58,2744.1,2769.68,2744.1,2734.17,0.0,6761676032.0
268,124,HSPSM,恒生物业服务及管理指数,1597.17,9.1,0.57,1587.84,1621.75,1587.84,1588.07,0.0,1977269888.0
269,124,HSSCQCI,恒生沪深港通中国质量全选指数,3576.61,20.1,0.57,3559.83,3587.43,3550.46,3556.51,0.0,264959582208.0
270,124,HSCARI,恒生A股机器人主题指数,4275.3,24.02,0.57,4218.87,4283.15,4181.43,4251.28,0.0,14323656960.0
271,124,HSSCSEE,恒生港股通央企ESG增强指数,4199.12,23.45,0.56,4181.19,4240.93,4181.19,4175.67,0.0,8929287168.0
272,124,HSCENCC,国指NTR备兑认购期权指数,7139.68,39.85,0.56,7145.72,7175.67,7118.0,7099.83,0.0,
273,124,HSCECC,国指备兑认购期权指数,3992.79,22.28,0.56,3996.17,4012.92,3980.67,3970.51,0.0,
274,124,HSCAC,恒生A股建筑指数,2512.26,13.93,0.56,2496.6,2514.37,2482.63,2498.33,0.0,8535754752.0
275,124,HSIII,恒生互联网科技业指数,1832.51,10.16,0.56,1822.28,1857.46,1821.44,1822.35,0.0,14057506560.0
276,124,HSCALSI,恒生A股低波幅智选指数,4255.5,23.18,0.55,4232.39,4259.91,4214.64,4232.32,0.0,237904896000.0
277,124,HSSCYCI,恒生沪深港通中国股息率全选指数,3441.65,18.44,0.54,3426.48,3452.78,3419.64,3423.21,0.0,264959582208.0
278,124,HSSCMCI,恒生沪深港通中国动量全选指数,3771.31,20.17,0.54,3754.97,3781.22,3745.74,3751.14,0.0,264959582208.0
279,124,HSBASDH,恒生沪深港通大湾区深莞惠指数,3990.95,21.25,0.54,3972.55,4005.88,3958.74,3969.7,0.0,57831134208.0
280,124,HSSCBBAI,恒生沪深港通大湾区指数,3531.25,18.76,0.53,3515.16,3546.51,3508.79,3512.49,0.0,76037341184.0
281,124,HSSCBBA,恒生港股通大湾区指数,2784.48,14.47,0.52,2773.52,2811.33,2773.52,2770.01,0.0,13396870656.0
282,124,HSCAESE,恒生A股通300ESG增强指数,4827.71,25.03,0.52,4800.26,4834.51,4774.9,4802.68,0.0,191872598016.0
283,124,HSSCTEI,恒生港股通旅游主题指数,1416.98,7.33,0.52,1410.43,1428.28,1410.43,1409.65,0.0,1949433616.0
284,124,AHXAH,恒生AH股A+H指数,2038.1,10.48,0.52,2028.14,2042.36,2022.58,2027.62,0.0,9975131136.0
285,124,HSCAOMM,恒生A股其他金属及矿物指数,3271.04,16.69,0.51,3262.83,3286.11,3226.96,3254.35,0.0,11413015808.0
286,124,HSSCSEL,恒生港股通中国央企ESG领先指数,4987.33,24.71,0.5,4978.52,5032.59,4977.47,4962.62,0.0,5630969344.0
287,124,HSCAPB,恒生A股药品及生物科技指数,2613.8,12.7,0.49,2597.69,2627.49,2590.38,2601.1,0.0,27983750400.0
