指数名称,最新PE,PE分位,最新PB,PB分位,股息率,股息率分位,指数代码,指数开始时间,更新时间
国证钢铁,23.27,71.96,0.9,10.07,2.42,45.3,399440.SZ,2014-12-30,2024-03-08
1000成长创新,32.95,72.81,3.03,12.11,1.25,93.45,931591.CSI,2020-11-09,2024-03-08
软件指数,107.57,74.29,3.99,3.38,0.56,94.19,h30202.CSI,2013-07-15,2024-03-08
CS人工智,62.7,74.69,4.06,23.15,0.66,73.54,930713.CSI,2015-07-31,2024-03-08
云计算,80.87,76.44,3.96,62.16,0.42,34.07,930851.CSI,2016-07-20,2024-03-08
数字经济,51.31,77.87,4.29,4.2,0.61,53.52,931582.CSI,2020-11-09,2024-03-08
韩国综合指数,19.7,78.32,0.97,56.56,1.8,49.46,KS11.GI,1980-01-04,2024-03-08
180成长,16.28,78.49,2.92,68.95,2.59,81.05,000028.SH,2009-01-09,2024-03-08
电子50,39.41,78.93,3.2,24.93,1.02,68.09,931461.CSI,2009-07-22,2024-03-08
300红利LV,7.84,80.0,0.85,55.97,4.25,42.92,930740.CSI,2018-12-04,2024-03-08
标普500,25.42,81.25,4.6,95.39,1.36,10.52,SPX.GI,1957-03-04,2024-03-08
纳斯达克100,34.04,82.72,8.5,88.01,0.6,9.29,NDX.GI,1985-02-01,2024-03-08
道琼斯工业指数,25.83,84.11,6.53,85.82,1.48,8.42,DJI.GI,1899-12-31,2024-03-08
中证100,13.09,84.56,1.56,73.4,3.08,82.05,000903.SH,2006-05-29,2024-03-08
中证钢铁,37.65,85.15,0.89,5.88,2.27,41.5,930606.CSI,2015-03-31,2024-03-08
标普500医疗,31.83,86.96,5.56,95.62,1.61,41.38,S5HLTH.SPI,1996-06-28,2024-03-08
动漫游戏,253.63,88.2,2.6,40.21,1.3,81.09,930901.CSI,2016-10-18,2024-03-08
中证农业,44.96,89.92,2.34,1.23,1.65,66.16,000949.CSI,2009-10-28,2024-03-08
科创芯片,117.87,90.8,3.93,8.49,0.24,63.92,000685.SH,2022-06-13,2024-03-08
芯片产业,94.88,92.61,3.89,43.94,0.23,25.49,H30007.CSI,2012-12-20,2024-03-08
中韩半导体,65.14,94.05,3.58,7.25,0.25,50.47,931790.CSI,2021-12-20,2024-03-08
科创板100,267.15,94.37,3.54,15.49,0.67,74.65,000698.SH,2023-08-07,2024-03-08
中证旅游,51.34,94.78,2.18,1.12,0.24,7.77,930633.CSI,2015-05-08,2024-03-08
标普500信息技术,37.79,95.43,10.92,92.42,0.7,0.17,S5INFT.SPI,1996-06-28,2024-03-08
猪产业指数,79.26,96.77,3.14,11.05,1.98,71.48,884251.WI,2015-12-31,2023-10-27
中证全指房地产,393.81,96.98,0.66,0.0,2.48,53.43,931775.CSI,2013-07-15,2024-01-19
鸡产业指数,106.48,97.56,2.77,26.08,1.01,25.14,884252.WI,2015-12-31,2024-02-27
北证50,29.04,97.56,2.41,21.29,1.38,70.73,899050.BJ,2022-11-21,2024-03-08
农牧渔,135.04,99.83,2.41,8.07,1.44,76.46,930910.CSI,2016-12-12,2024-03-08
费城半导体指数,51.36,99.86,9.15,99.38,0.66,0.07,SOX.GI,,2024-03-08
中证畜牧,153.47,99.89,2.58,1.26,1.37,54.49,930707.CSI,2015-07-13,2024-03-08
